cell_type,CRC,B cells,T cells,Epithelial cells,Fibroblasts,Mast cells,Macrophages,Endothelial cells
CRC,0.21450335499044626,0.11950193516173953,0.08412453614374016,0.14959688332578425,0.09983696016670196,0.0729629019347514,0.23204483207072482,0.03360283183637918
B cells,0.19344298234991253,0.1376136127610058,0.12994767168746216,0.0988569978688187,0.09099343738133274,0.12047846469999622,0.15561230716362906,0.09075383718689374
T cells,0.07805995166212164,0.03666037924209198,0.02803573845331663,0.033903513729245494,0.10053058461205007,0.03268765891368302,0.08689163240861125,0.01397833270791343
Epithelial cells,0.13443410063839875,0.06378908131678117,0.04269863124698597,0.07928663908975503,0.058562401296365314,0.03298564894663692,0.143815431733095,0.01601633580900068
Fibroblasts,0.11705450558688052,0.062184349005924115,0.11503452104891554,0.06773527714663952,0.06700107234160732,0.039334957799405455,0.20576401390918786,0.1227955056904886
Mast cells,0.1279313113700019,0.0775115668855682,0.23997032338902566,0.06444112066541206,0.09386520200402909,0.21169626929457808,0.19535464507945713,0.05260833603497176
Macrophages,0.13584821442961623,0.07709480121093823,0.050721162472755314,0.06253264568295062,0.04389638300281129,0.04309714353230995,0.14286666777580356,0.036189721268441964
Endothelial cells,0.01944531985208468,0.008604602602351847,0.007216722131712886,0.007523192943983132,0.018193419334292374,0.007476109359998627,0.046981598003219265,0.04530010680615831
