cell_type,CRC,B cells,T cells,Epithelial cells,Fibroblasts,Mast cells,Macrophages,Endothelial cells
CRC,0.8333333333333334,0.3617471778526405,0.30272664613342154,0.6677270758112521,0.26966260369544715,0.16796357809437545,0.046259804173371756,0.02212802444723509
B cells,0.21285424100437,0.301963925975653,0.18905576585976824,0.1188042340635279,0.1710006016879239,0.21982164953668837,0.06898563156501313,0.10677507602173388
T cells,0.11191542447779328,0.05716725590753133,0.05101456188133108,0.07918543834323079,0.1291570219776882,0.06916926714170114,0.007936745646361898,0.01397833270791343
Epithelial cells,0.18778189416137228,0.22450379151756175,0.12577015884826143,0.10424893554447721,0.06096287392955107,0.08588524919854217,0.02232068492469276,0.015973772481511262
Fibroblasts,0.2125595150437163,0.0962391627633886,0.14359258216370388,0.16644391942825515,0.18008043224775905,0.09636647288237081,0.05870519037977608,0.20905994020951146
Mast cells,0.11204077722583705,0.17764373866649455,0.12051836166658215,0.07599602498661835,0.17680165279007443,0.13407449629658302,0.04647615357074273,0.23995107814246217
Macrophages,0.02697286713860157,0.04440754439506895,0.04819148895942361,0.018004307270265814,0.04443328637237574,0.026126666977298985,0.034485664592059054,0.14107041522544464
Endothelial cells,0.002012346484840538,0.0010004864171194242,0.0,0.0010275119272982463,0.004239351266257242,0.005380674069213537,0.0005930759710882811,0.3182113570259804
