cell_type,CRC,B cells,T cells,Epithelial cells,Fibroblasts,Mast cells,Macrophages,Endothelial cells
CRC,0.8333333333333334,0.13562614085907002,0.10562480616510685,0.2930034227349712,0.0860706306627896,0.0350087296219516,0.0007388105668949594,0.004824975668272599
B cells,0.07888876308618846,0.2666297960221263,0.167913614057037,0.027479071322834326,0.15438423160932155,0.20221630383090386,0.012391118776012991,0.022864878544625933
T cells,0.051871230191998935,0.029323747801269232,0.028677021470238293,0.019896704626223064,0.12147882608276862,0.06185716026743957,1.4447159671684322e-05,0.00016726049221223985
Epithelial cells,0.17644432173175958,0.09068508767828139,0.03206523894705258,0.0572914455629113,0.014587873418195993,0.018989575015439904,0.0001849998024054402,0.0017347173535502654
Fibroblasts,0.1707518329485153,0.08805860142572906,0.13510972298030446,0.11660908988878664,0.17200200613428243,0.09187378037835142,0.019827530918782248,0.07668055642725981
Mast cells,0.030567413060661523,0.16498066912422493,0.11410253619907555,0.02917769704310348,0.1709654327340361,0.12974358340763678,0.012262844284742632,0.16685058131151895
Macrophages,0.002712717691228781,0.008562094549926362,0.012481763399491063,0.0005253507941441189,0.019761865344084365,0.0049130999584894785,0.0073707651285046215,0.059053637456588315
Endothelial cells,0.0120743475689082,0.001575109905496713,0.00026034284874386056,0.0021912164231048417,0.0031585497988773936,0.005146550503481243,3.353892633036716e-05,0.15540628951255744
