cell_type,CRC,B cells,T cells,Epithelial cells,Fibroblasts,Mast cells,Macrophages,Endothelial cells
CRC,1.0,0.3786530405159492,0.30838194211013553,0.7050105627846263,0.27252834633437734,0.16849433659821259,0.04921504644095159,0.04142792712032548
B cells,0.2233071897530096,0.1996555545189033,0.14581250654302624,0.12089197825105664,0.08929949691589223,0.11583888960412962,0.02010224053710454,0.021985118138294697
T cells,0.11989459401931113,0.053234748899949676,0.04630334843117611,0.08060112943417247,0.10358443069719864,0.05193089153979788,0.007994534285048635,0.014647374676762389
Epithelial cells,0.4086731797868972,0.2330540433780268,0.1275216235785032,0.13462861376062674,0.061977742592431904,0.08600077801103269,0.02306068413431452,0.02291264189571232
Fibroblasts,0.2222941451867848,0.08418826924434125,0.09144425453823539,0.16851813210989522,0.08741997452525246,0.04139043881777761,0.009994024592157641,0.03397005128355924
Mast cells,0.11335934904478233,0.08870046887821119,0.10072302408927954,0.07624972977141067,0.05573662307067286,0.07843978398302966,0.008563255226447923,0.018505017513801156
Macrophages,0.037823737903516695,0.016204933062642375,0.009211008188366572,0.020105710446842288,0.0063603830156096705,0.006529963014219837,0.0068010048059311485,0.020791829498243593
Endothelial cells,0.02012373350827035,0.00557705557397441,0.00026034284874386056,0.006301264132297827,0.0011546621252456262,0.0003642680403924705,0.0007272316764097496,0.041944422886699605
