cell_type,CRC,B cells,T cells,Epithelial cells,Fibroblasts,Mast cells,Macrophages,Endothelial cells
CRC,0.16950864910552257,0.06995380385896278,0.09254451285761582,0.14531590704465883,0.07658609479272431,0.03399009158864548,0.0,0.0
B cells,0.03874176994342433,0.2667115203732299,0.19039039293589355,0.019280116982583362,0.15761021664360123,0.21703966418317333,0.012254901960784314,0.022058823529411766
T cells,0.02001444766987324,0.028392207314692972,0.029281235919888477,0.01425639222177489,0.32322589397391427,0.0669199736603773,0.0,0.0
Epithelial cells,0.02556743164632823,0.05812423514295143,0.02527464048087061,0.010464105996362634,0.01084933540034104,0.018702070156977234,0.0,0.0
Fibroblasts,0.18309928544024315,0.09351995570910761,0.27127125076333664,0.1325441011883186,0.17891212086094077,0.09431087004886955,0.0196078431372549,0.07598039215686274
Mast cells,0.028888422857659257,0.16681789239852007,0.47584511563886966,0.029159120664918506,0.1847332698297837,0.39198458278172477,0.012254901960784314,0.16666666666666666
Macrophages,0.0,0.007352941176470589,0.012254901960784314,0.0,0.0196078431372549,0.004901960784313725,0.007352941176470589,0.05882352941176471
Endothelial cells,0.0,0.0,0.0,0.0,0.0024509803921568627,0.004901960784313725,0.0,0.15441176470588236
