IFNA8_GP152
EPHA4_EFNB1
FCER2_CR2
EFNA4_EPHA5
TNF6B_TNFL6
CER1_MRC2
HLAF_LIRB1
CEAM6_CEAM6
WNT5A_FZD3
LEG9_AAAT
CXCR3_CCL19
NEU2_V1AR
SLIB_VIPR1
NOTC2_DLL3
TR10B_TNFL6
NTRK1_NTF3
EREG_EGFR
CADM3_PVRL3
EGFR_TGFB1
PVR_TIGIT
RSPO1_LGR4
CO5_C5AR1
PVRL1_CADM3
PRL_PRLR
MK_LRP1
CCR3_CCL15
GLUC_DPP4
IL13_TM219
EDA_TNR27
DLK1_NOTC3
CORT_SSR4
CCL8_ACKR1
CCR2_CCL7
CCL4_GPC5D
FGF2_FGFR4
BMP7_SLAF1
PACA_SCTR
WNT1_ROR2
AA2AR_NAMPT
PVR_TNFL9
EGF_NRG1
IGFL1_IGFR1
CCKN_GASR
CCL19_ACKR4
CD2_LFA3
TIE2_ANGP4
COLI_MSHR
SSR1_SMS
NOTC4_DLL4
TTHY_DDR1
FGFR2_CD83
IAPP_CALCR
CNR2_ADIPO
GDF1_5HT4R
CORT_GHSR
FGF7_FGFR3
GLP2R_GLUC
EGFR_MIF
CXCR6_CXL16
PTN_PTPRS
TRH_TRFR
BMP10_KI3L1
ICAM3_CLC4M
FFAR2_CC4L
TNFB_TNR14
EPHB2_EFNB1
FFAR2_FAM3C
MK_ALK
PTHR_PTH2R
NOTC1_DLL4
EPHA8_EFNA5
PACA_PACR
FGF4_FGFR3
RXFP2_REL3
WNT2B_FZD4
NMS_NMUR1
LEG9_CD47
WNT1_FZD3
MTLR_MOTI
FGF6_FGFR1
CD99_PILRA
FGF1_FGFR3
CALC_CALCR
LYAM3_CD34
IGF2_GP152
BMP2_SMO
PDCD1_PD1L1
TGFB2_TGBR3
TR10A_TNF10
TNFL9_I13R2
GIP_DPP4
NMU_NMUR1
REL2_RXFP2
RSPO2_LGR6
WNT1_FZD8
C5AR1_RS19
THYG_ASGR1
TNF14_TNR14
MCP_JAG1
GLUC_IDE
PLF4_CXCR3
NPBW2_NPB
EPHA1_EFNA3
IL4_I13R2
NCAM1_BDNF
WNT5A_FZD2
PKR1_PROK2
FGFR2_FGF23
EFNA2_EPHA7
PVRL1_PVRL4
RSPO2_LGR4
TR10C_TNF10
FGF2_FGFR1
TFF1_FCRL4
SECR_SCTR
CXCR3_CXCL9
GPR42_CC4L
ANF_ANPRB
GUC2C_GUC2B
VEGFA_EPHB2
FGFR1_FGF3
XCL1_GPR98
ANFB_ANPRC
NRP2_SEM3C
OREX_OX2R
SSR4_SMS
NRG1_LGR4
CLC2B_KLRF1
BMP10_KI2L3
WNT3A_FZD2
HLADQB2_PRL
CCL4_GP152
NPS_NPSR1
VGFR2_VEGFC
IFNA1_CR2
NOTC2_JAG2
NCTR3_BAG6
NOTC2_DLL4
MK_PTPRZ
PKR2_PROK2
IL37_IRPL1
EFNA5_EPHA7
HLADPA1_TNFL9
CXCR1_CXCL6
FGF4_FGFR4
GLRA2_FAM3C
PDGFB_LRP1
MCH_MCHR2
TNF15_TNF6B
FAM3C_CLC2D
LEUK_SN
OSTP_CD44
MIF_TNR14
EPHA2_EFNA5
EPHA8_EFNA4
PLXC1_SEM7A
LYAM3_SELPL
PRLR_CSHL
FGFR3_PVRL1
WNT2_FZD2
PACA_VIPR2
KI2L3_FAM3C
CADM3_CADM4
NEU2_V1BR
KIT_SCF
FGFR2_PVRL1
TNFA_NOTC1
CRFR2_UCN3
REL3_RL3R1
TNF12_TNR12
PVRL2_PVRL3
FGF5_FGFR2
HG2A_COPA
ERBB4_HBEGF
ANXA1_FPR2
FZD9_WNT7A
CSF1_CTR1
TFR1_TN13B
TNFB_TNR3
IL8_CXCR2
ACKR2_CCL2
CCR8_CCL18
FGF10_FGFR1
REL3_RXFP1
CTLA4_CD80
CEAM5_CEAM6
INS_LIRB2
IGFL3_IGFR1
ANF_ANPRA
CALCR_ADM2
CX3C1_X3CL1
FGF17_FGFR2
GLHA_LSHR
GDF11_ANTR1
HLAE_NKG2D
SHPS1_CD47
LFTY2_TDGF1
UTS2_UR2R
CXAR_FAM3C
NRP1_VEGFB
VSTM1_AGRG3
CCL16_CCR1
FGFR1_FGFR2
TNFA_CELR2
AGRP_MC3R
HLAC_FAM3C
RSPO4_LGR4
FSHB_FSHR
DLL3_NOTC3
MCH_MCHR1
DSG1_DSC2
HGF_CD44
EFNA1_EPHA8
PLF4_ACKR1
TIGIT_PVRL3
FGFR1_FGF9
NTRK1_NAMPT
FGFR1_NCAM1
CCL25_CCR9
TNR6_TNFL6
EPHA1_EFNA5
VGFR3_PDGFC
UFO_GAS6
CCL16_CCR8
TNFA_ICOS
TR13B_TN13B
PGFRA_PDGFC
IFNE_GPR98
FGF2_CD44
AA2AR_ENTP1
EFNA1_EPHA7
CO3_C3AR
AA1R_ENTP1
HGFL_RON
HLAE_NKG2A
BDNF_JAM1
TACT_PVRL1
TNFA_GI24
CXCL2_CXCR1
EPO_EFNB2
TNR8_TNFL8
MERTK_GAS6
CCR1_CCL18
EPHA3_EFNA4
LEG9_LRP1
DLL1_NOTC2
HLAF_KI3S1
OSTP_CCR8
IGF2_MPRI
TA2R_GHRL
ACKR2_CCL3
TNFL9_TNR9
PE2R3_GHRL
TNFL4_TNR4
PYY_NPY5R
PROK1_PKR2
SEM4A_PLXD1
TR10A_FGFR4
KLRG2_WNT5B
CCL16_HRH4
ACKR2_CCL14
REL2_RXFP1
TFF1_FGFR2
CL3L1_DPP4
FGF17_FGFR1
EFNA1_EPHA2
EPHB1_EFNB1
GALA_GP151
DLL1_NOTC3
BMP7_PTPRK
TNFL9_AGRG5
EGFR_AREG
HLAF_KI3L1
LEG9_MRC2
PTHR_PTH1R
WNT3A_FZD8
FGFR4_SG3A1
TNFA_RIPK1
ASGR2_ADIPO
DLL1_NOTC1
ANF_ANPRC
ADIPO_MO2R1
FGF1_FGFR2
PRLHR_PRRP
TNFA_TNR1A
NEU1_OXYR
INHBC_AVR2B
VGF_NTRK1
MTR1B_COPA
ESAM_ESAM
KLRF2_CLC2A
GPR1_RARR2
PTN_PTPRZ
CCR1_CCL26
COPA_SORT
LYAM2_GSLG1
PROK1_PKR1
NPFF1_NPVF
NTF3_NTRK3
ADIPO_PKR2
NGF_NTRK1
ADML_MRGX2
GPR42_FAM3C
CCL22_CCR4
GROA_ACKR1
XCR1_XCL2
NRG2_ERBB3
NTRK1_GRN
WNT7A_FZD5
CEAM1_CD209
LAMP1_FAM3C
GLUC_GLR
EDN2_EDNRA
CCRL2_CCL19
CD48_CD244
BMP10_GI24
GLHA_FSHR
IGF2_IGF1R
TNR5_INSL3
EPHB2_EFNA5
PTHR_PRLHR
ANGT_AGTR1
CCR1_CCL14
MIF_TR10D
PDGFB_PGFRB
EDA_EDAR
FGF2_FGFR2
LRP6_CKLF
EFNA3_EPHA4
VIP_VIPR2
CCL5_ACKR1
CCR3_CCL28
CCL4_CNR2
CSF1R_CSF3
FGFR4_FGF8
FZD9_WNT1
HLAG_LIRB1
NTRK1_AIMP1
HLADPB1_TN13B
PI2R_GHRL
PTN_ALK
LGR5_RSPO4
INS_INSR
CXCR1_CXCL5
EPHA1_EFNA4
FGF3_FGFR4
ANPRC_OSTN
SAA1_FPR2
NOTC4_JAG2
TTHY_RAGE
NOTC1_DLL3
RSPO4_LGR6
JAG1_NOTC2
DAF_CD97
CD226_PVRL2
DSG1_DSC1
PACA_VIPR1
CD44_HBEGF
CCR10_CCL7
LAMP1_VSTM1
FGFR4_FGF9
CCR10_CCL28
ANFB_DPP4
FGFR4_PTPRR
EFNA4_EPHA4
COPA_P2RY6
FGF5_FGFR4
IL13_I13R2
LEP_LEPR
LAIR1_LIRB4
CSF1_SHPS1
FGF1_TGBR3
INS_IDE
IL8_CXCR1
ANGT_AGTR2
FGFR2_EPHA4
PLD2_ARF1
CD72_SEM4D
LYAM3_CD24
PENK_MRGX1
ACKR2_CCL13
CD44_FGFR2
ANPRB_ANFC
ERBB3_BTC
CCL21_CCR7
TNR3_TNFC
ANXA1_FPR3
CORT_SSR1
INSL3_RXFP2
DSC2_DSG2
FGF3_FGFR2
ADIPO_CLC2D
CD44_LYAM2
LEG9_CD44
UTS2B_UR2R
NRG1_LSR
FGF19_FGFR1
NMDE1_IL16
FZD7_WNT3
BDNF_GP152
ACKR3_SDF1
HLADPA1_GALA
FFAR2_TNFA
CD28_CD80
TIMP1_FGFR2
TR11B_TNF11
ACKR2_CL3L1
CD52_SIG10
WNT5A_ROR1
SLIB_GHRHR
CXL11_ACKR3
ERBB4_NRG4
FGF1_FGFR1
KNG1_BKRB1
EFNA1_EPHA5
FGFR1_FGF8
HLADPB1_NRG1
CCL3_IDE
FGF5_FGFR3
FLT3_FLT3L
ANFB_ANPRB
IL15_I15RA
CD28_CD86
FGFR1_FGF7
VIP_V1AR
CCL4_CTR1
AA2BR_ENTP1
RL3R2_INSL5
TNF12_TNR25
EFNA3_EPHA5
GAST_KI2L3
FGF19_FGFR4
FGFR1_FGF23
CC4L_GP151
FGFR3_FGF9
CXCL7_CXCR1
GRP_GRPR
NMU_NMUR2
FGFR2_FGF8
EPHA2_EFNA3
EPHA4_EFNB3
GRN_SORT
CALCB_CALCR
GHSR_GHRL
CML1_RARR2
NOTC2_IL24
TNFB_TNR1B
GPR19_ENHO
CCL7_ACKR1
CCR6_CCL20
EGFR_EPGN
MET_HGF
LOX5_AL5AP
CXL10_CXCR3
NRP1_SEM3A
WNT3A_FZD1
GROA_CXCR2
CCR3_CCL26
FGFR4_EPHA4
CL3L1_CCR1
PECA1_CD177
PTPRC_MRC1
ETBR2_SAP
GRN_CLC4M
EFNB2_EPHB3
FZD6_WNT5A
GAST_GASR
EFNA2_EPHA8
TNR5_CD40L
BTLA_TNR14
NTR1_NEUT
CSF3_CSF3R
JAG1_NOTC4
CXL13_ACKR4
MK_SORL
CRFR2_UCN2
OREX_OX1R
TNFB_TNR1A
TYRO3_GAS6
NRP1_PLGF
TNF14_TNR3
ACE2_GHRL
TGFB1_TGBR3
EPHB4_EFNB3
CSF1_CELR3
LYAM2_SELPL
EPHB6_EFNB3
ELA_APJ
LYAM1_SELPL
BY55_TNR14
EPO_EPOR
JAM2_JAM3
CXCR2_CXCL5
EFNB2_EPHA4
INSL3_RXFP1
ACHA7_SLUR1
FGFR3_FGF23
LEG9_COL12
FGF6_FGFR2
CADM1_CADM1
EGFR_COPA
NTF4_NTRK2
PODXL_LYAM1
IL16_NMDE3
TR10B_TNF10
CD6_CD166
EFNA2_EPHA2
CD70_GPC5B
CCL2_CCR10
TNFA_TNR6
TTHY_TNR16
CCR1_CCL7
DSC1_DSG2
CCL3_CCR3
NOTC1_JAG2
CEAM8_CEAM6
GPHA2_EPHA6
CORT_MRGX2
VCC1_GPR35
EGFR_GRN
EFNB2_EPHB4
CCL3_CCR1
ACKR2_CCL11
ANPRA_ANFB
IGFL2_IGFR1
CD80_PD1L1
PLXB2_SEM4D
DSG1_DSC3
FGFR2_FGF9
GHRHR_GHRL
EPHB6_EFNB2
IL8_ACKR1
HLAC_KI2L3
CXCL3_CXCR2
CCR1_CCL23
ACKR2_CCL28
CCR2_CCL26
CSF2_CSF1R
AGRL1_NRG1
DLL4_NOTC3
CCL16_CCR2
NTF3_NTRK2
VGFR1_VEGFB
GAST_GP152
LIRA4_BST2
TNF10_TR10D
TR13C_TN13B
BMP10_KI3S1
ACKR1_CCL17
NRG1_M4A4A
HG2A_A4
ADRB2_VEGFB
WNT3A_LRP1
HLAB_KI3L2
CCR7_CCL19
FGFR2_XPR1
COLI_MC4R
AVR2A_INHBE
BDNF_SORT
GUC2C_GUC2A
NAMPT_P2RY6
CCR2_CCL8
CADM3_CADM1
PROS_TYRO3
ICAM1_LEUK
LEG9_SORL
TNFA_VGFR3
EFNA1_EPHA3
INHBE_AVR2B
AGRP_MC4R
NOTC4_DLL3
LRP1_ERFE
EFNA5_EPHA5
GPR98_GPHA2
TNR16_IL2
EPHA2_EFNA4
CXL11_CXCR3
FZD9_WNT2
CCL5_CCR1
CRF_CRFR2
PAHO_NPY4R
EPO_EPHB4
ANPRA_ANFC
EGFR_BTC
SDF1_CXCR4
ICAM3_CD209
CEAM1_CEAM6
NOTC1_DLK1
IGF2_IDE
CC4L_GI24
LRP5_FAM3B
TNR1A_TNFL6
EPHB3_EFNB3
TIGIT_PVRL2
SOMA_PRLR
RL3R2_REL3
WNT7B_FZD10
WNT4_SMO
HLAF_LIRB2
KLRG2_WNT11
CO5_C5AR2
WNT7A_LDLR
PYY_NPY4R
TNF13_TNR6
PVR_CD226
CC4L_GP152
LGR4_RSPO3
NMDE4_IL16
RYK_WNT3A
TNR16_BDNF
OX2G_MO2R1
PYY_NPY1R
LEG9_PTPRK
TR13B_CD70
GPR42_ADIPO
EPHA3_EFNA3
PLXB2_SEM4C
GPR37_SAP
HG2A_MIF
HLAC_KI2L1
CXCL5_ACKR1
FGF17_FGFR4
CEAM5_CD1D
RL3R1_INSL5
