CellCDmT,iTALK,CellPhoneDB,NATMI,CellChat
CXCL6_CXCR1,ANXA1_FPR3,EPHB2_EFNB3,CCL21_ACKR4,
IL2_IL2RA,APLN_APLNR,EPHB6_EFNB3,CCL21_CCR10,
IL2_IL2RG,APOB_CALCR,EPHB3_EFNB1,CCL21_CCR7,
IL2_CD53,APOB_ITGAM,CEACAM1_CEACAM6,CCL21_CXCR3,
IL2_NGFR,APOB_ITGB2,CD8A_CEACAM5,CCL22_ACKR2,
IL2_IL2RB,APOB_LDLR,FTL_SCARA5,CCL22_CCR4,
APOC3_LRP2,APOB_LRP2,IL16_GRIN2C,CCL23_CCR1,
APOC3_LRP1,APOB_LRP6,CCL4_CCR8,CCL24_CCR2,
APOC3_SDC2,APOB_LRP8,LCN2_SLC22A17,CCL24_CCR3,
APOC3_LDLR,APOB_LSR,SPP1_CCR8,CCL25_ACKR2,
APOC3_TLR2,APOB_OLR1,INHBE_ACVR2B,CCL25_ACKR4,
KITLG_KIT,APOC3_SDC2,CCL4_GPRC5D,CCL25_CCR10,
KITLG_EPOR,APOC3_TLR2,CD6_ALCAM,CCL25_CCR9,
CLEC2B_KLRF1,APOD_LEPR,ACVR2A_INHBE,CCL26_CCR1,
SELPLG_ITGB2,APOE_CHR4,CDH2_CDH2,CCL26_CCR2,
SELPLG_SELE,APOE_LDLR,LAG3_FGL1,CCL26_CCR3,
SELPLG_ITGAM,APOE_LRP1,SELL_PODXL2,CCL27_ACKR2,
SELPLG_ESAM,APOE_LRP2,CSF3_CSF3R,CCL27_CCR10,
SELPLG_SELL,APOE_LRP5,CSF1R_IL34,CCL28_ACKR2,
SELPLG_SELP,APOE_LRP8,PLD2_ARF1,CCL28_CCR10,
IL23A_IL12RB1,APOE_SCARB1,CCR1_CCL14,CCL28_CCR3,
IL23A_IL12RB2,APOE_SORL1,TNFSF11_TNFRSF11A,CCL3_ACKR2,
IL23A_IL23R,APOE_VLDLR,FPR2_CAMP,CCL3_CCR1,
FGF6_FGFR2,APP_CAV1,WNT3_SFRP4,CCL3_CCR3,
FGF6_FGFR4,APP_CD74,FRZB_WNT5B,CCL3_CCR4,
FGF6_FGFR1,APP_FPR2,CCR1_CCL18,CCL3_CCR5,
FGF6_FGFR3,APP_GPC1,CCR1_CCL23,CCL3L1_ACKR2,
FGF6_SDC4,APP_LRP1,CCR1_CCL26,CCL3L1_CCR1,
IL26_IL10RB,APP_NCSTN,ACKR2_CCL28,CCL3L1_CCR3,
IL26_IL20RA,APP_NGFR,WNT7A_FRZB,CCL3L1_CCR5,
IFNG_IFNGR2,APP_SLC45A3,WNT9A_FRZB,CCL3L3_ACKR2,
IFNG_IFNGR1,APP_TNFRSF21,WNT11_FRZB,CCL3L3_CCR5,
GNB3_TGFBR1,AREGB_EGFR,RNASET2_TLR8,CCL4_ACKR2,
GNB3_GABBR2,AREGB_ERBB3,CCRL2_RARRES2,CCL4_CCR1,
ULBP1_KLRK1,AREG_EGFR,CXCL13_ACKR4,CCL4_CCR3,
LAMA4_ITGB1,AREG_ERBB3,MIF_TNFRSF10D,CCL4_CCR5,
LAMA4_ITGAV,ARF1_CHRM3,DLL4_NOTCH3,CCL4_CCR8,
LAMA4_ITGA6,ARF1_INSR,DLL1_NOTCH2,CCL4L1_CCR1,
LAMA4_ITGA3,ARF1_PLD2,PVR_TNFSF9,CCL4L1_CCR3,
HBEGF_EGFR,ARTN_GFRA1,GDF11_ANTXR1,CCL4L1_CCR5,
HBEGF_ERBB4,ARTN_GFRA3,WNT3_SFRP2,CCL5_ACKR2,
HBEGF_ERBB2,ARTN_RET,SFRP1_WNT5B,CCL5_CCR1,
HBEGF_CD44,ASIP_ATRN,WNT7B_FRZB,CCL5_CCR3,
HBEGF_CD9,ASIP_MC2R,WNT4_FRZB,CCL5_CCR4,
HBEGF_PRLR,ASIP_MC3R,WNT3_FRZB,CCL5_CCR5,
HBEGF_CD82,ASIP_MC4R,EREG_ERBB4,CCL5_CXCR3,
IL12B_IL12RB1,ASIP_MC5R,FRZB_WNT16,CCL5_GPR75,
IL12B_IL12RB2,ASIP_MGRN1,NOTCH1_NOV,CCL5_SDC1,
IL12B_IL23R,AZGP1_ITGAV,WNT5A_PTPRK,CCL5_SDC4,
IL4_IL2RG,B2M_CD1A,NOTCH1_DLL4,CCL7_ACKR2,
IL4_CD53,B2M_CD1B,FRZB_WNT10A,CCL7_ACKR4,
IL4_IL13RA2,B2M_CD247,NRG1_LGR4,CCL7_CCR1,
IL4_IL13RA1,B2M_CD3D,CCL21_ACKR4,CCL7_CCR10,
IL4_IL4R,B2M_CD3G,CCL19_ACKR4,CCL7_CCR2,
IL5_CSF2RB,B2M_HFE,CCL22_CCR4,CCL7_CCR3,
IL5_IL5RA,B2M_HLA-F,JAG1_NOTCH3,CCL7_CCR5,
SEMA3G_NRP2,B2M_KIR2DL1,KLRG2_TNFSF9,CCL7_CXCR3,
LTF_LRP1,B2M_KIR3DL1,EPHB3_EFNB3,CCL8_ACKR2,
LTF_TFRC,B2M_KLRC1,CADM3_CADM1,CCL8_ACKR4,
HRG_ERBB2,B2M_KLRD1,EPHB2_EFNA5,CCL8_CCR1,
HRG_FCGR1A,B2M_LILRB1,WNT5A_ROR2,CCL8_CCR2,
HRG_ERBB3,B2M_LILRB2,CADM3_EPB41L1,CCL8_CCR3,
TFPI_LRP1,B2M_TFRC,WNT5A_WIF1,CCL8_CCR5,
TFPI_SDC4,BCAN_EGFR,LGR4_RSPO3,CD14_ITGA4,
TFPI_VLDLR,BCAN_NRCAM,WNT2_SFRP2,CD14_ITGB1,
TFPI_F3,BDNF_DDR1,WNT5A_FRZB,CD160_TNFRSF14,
APOB_ITGB2,BDNF_DRD4,PDCD1_PDCD1LG2,CD1D_LILRB2,
APOB_ADRB2,BDNF_NGFR,WNT9A_SFRP1,CD2_CD48,
APOB_LRP2,BDNF_NGFRAP1,GPR37L1_PSAP,CD200_CD200R1,
APOB_LRP1,BDNF_NTRK2,WNT7A_SFRP1,CD200_CD200R1L,
APOB_ITGAM,BDNF_SORT1,WNT2_SFRP4,CD200R1_CD200,
APOB_LRP6,BGN_LY96,LIFR_OSM,CD209_ICAM3,
APOB_LDLR,BGN_TLR1,EFNA1_EPHA2,CD22_PTPRC,
APOB_VLDLR,BGN_TLR2,BMP7_SLAMF1,CD226_PVR,
APOB_OLR1,BGN_TLR4,CCL11_ACKR4,CD244_CD48,
APOB_CALCR,BMP10_ACVR1,EPHB4_EFNB1,CD274_CD80,
APOB_MTTP,BMP10_ACVR2A,CCL3_CCR3,CD274_PDCD1,
APOB_LSR,BMP10_ACVR2B,NRG1_LSR,CD28_CD80,
APOB_TLR6,BMP10_ACVRL1,EREG_EGFR,CD28_CD86,
APOB_TLR4,BMP10_BMPR1A,NRG1_ERBB4,CD34_SELE,
APOB_LRP8,BMP10_BMPR1B,CCL5_CCR3,CD34_SELL,
WNT6_FZD4,BMP10_BMPR2,CCL3L1_CCR3,CD34_SELP,
PROC_ITGB2,BMP10_ENG,NRG2_ERBB4,CD40LG_CD40,
PROC_ITGAM,BMP2_ACVR1,CSF1_CELSR3,CD44_SELE,
PROC_THBD,BMP2_ACVR2A,KLRB1_CLEC2D,CD47_SIRPA,
PROC_PROCR,BMP2_ACVR2B,FPR2_MT-RNR2,CD47_SIRPG,
ANGPTL1_TEK,BMP2_BMPR1A,S1PR2_FAM19A5,CD48_CD2,
CD160_TNFRSF14,BMP2_BMPR1B,CCL3L3_CCR3,CD48_CD244,
APOA1_LRP2,BMP2_BMPR2,PDGFB_LRP1,CD52_SIGLEC10,
APOA1_LRP1,BMP2_ENG,CMKLR1_RARRES2,CD58_CD2,
APOA1_LDLR,BMP2_HFE2,RSPO1_LGR4,CD59_CD2,
APOA1_ABCA1,BMP3_ACVR1,EFNA5_EPHA4,CD5L_CD5,
FGF23_FGFR2,BMP3_ACVR2A,EGFR_AREG,CD6_ALCAM,
FGF23_FGFR4,BMP3_ACVR2B,ERBB4_HBEGF,CD70_CD27,
FGF23_FGFR1,BMP3_BMPR1A,NRP1_SEMA3A,CD80_CD274,
FGF23_FGFR3,BMP3_BMPR1B,TNFRSF1A_FASLG,CD80_CD28,
FGF23_PHEX,BMP3_BMPR2,AGRN_PTPRS,CD80_CTLA4,
FGF23_KL,BMP4_ACVR1,CD44_SELE,CD84_CD84,
TGFB3_ITGB5,BMP4_ACVR2A,ABCA1_APOA1,CD86_CD28,
TGFB3_ITGB1,BMP4_ACVR2B,LTA_TNFRSF1A,CD86_CTLA4,
TGFB3_ENG,BMP4_BMPR1A,CXCR3_CXCL9,CD9_L1CAM,
TGFB3_TGFBR2,BMP4_BMPR1B,GCG_DPP4,CD96_PVR,
TGFB3_TGFBR1,BMP4_BMPR2,ADCYAP1_DPP4,CD99_PILRA,
TGFB3_ACVRL1,BMP4_HFE2,CCR2_CCL13,CD99_PILRB,
TGFB3_ITGB6,BMP5_ACVR1,ACKR2_CCL14,CDH1_EGFR,
TGFB3_TGFBR3,BMP5_ACVR2A,GPR75_CCL5,CDH1_IGF1R,
IFNA7_IFNAR2,BMP5_ACVR2B,CCR2_CCL7,CDH1_ITGAE,
IFNA7_IFNAR1,BMP5_BMPR1A,CXCL1_CXCR2,CDH1_ITGB7,
IAPP_PTH1R,BMP5_BMPR1B,CXCL2_CXCR2,CDH1_KLRG1,
IAPP_ADCYAP1R1,BMP5_BMPR2,PDGFB_PDGFRA,CDH1_PTPRM,
IAPP_RAMP2,BMP5_HFE2,CD40_INSL3,CEACAM1_CD209,
IAPP_VIPR1,BMP6_ACVR1,TFRC_HFE,CEACAM1_HAVCR2,
IAPP_RAMP3,BMP6_ACVR2A,TFRC_TF,CEACAM1_SELE,
IAPP_GPR20,BMP6_ACVR2B,TNFRSF13B_TNFSF13,CEACAM5_CD1D,
IAPP_ADRB2,BMP6_BMPR1A,CCR2_CCL11,CEACAM5_CD8A,
IAPP_ADRB3,BMP6_BMPR1B,CCRL2_CCL19,CEACAM6_CEACAM8,
IAPP_TSHR,BMP6_BMPR2,HLA-DPB1_NRG1,CEACAM8_CEACAM1,
IAPP_GPR84,BMP7_ACVR1,CCR2_CCL8,CEL_CXCR4,
IAPP_CALCR,BMP7_ACVR2A,KIR2DL3_CXCL9,CFH_ITGAM,
IAPP_RAMP1,BMP7_ACVR2B,PVR_TIGIT,CFH_SELL,
TNFSF10_TNFRSF11B,BMP7_BMPR1A,FGF7_FGFR2,CFP_NCR1,
TNFSF10_TNFRSF10D,BMP7_BMPR1B,PROC_PROCR,CGA_LHCGR,
TNFSF10_RIPK1,BMP7_BMPR2,FTH1_SCARA5,CHAD_ITGA2,
TNFSF10_TNFRSF10B,BMP7_ENG,FGF2_CD44,CHAD_ITGB1,
TNFSF10_TNFRSF10C,BMP8B_ACVR1,NOTCH2_DLL4,CIRBP_TREM1,
TNFSF10_TNFRSF10A,BMP8B_ACVR2A,RELN_LRP8,CLCF1_CNTFR,
GSTM2_RYR2,BMP8B_ACVR2B,BMP8B_PLAUR,CLCF1_CRLF1,
INHBA_ACVR1,BMP8B_BMPR1A,FGF1_FGFR4,CLCF1_IL6ST,
INHBA_ENG,BMP8B_BMPR1B,IGFL1_IGFLR1,CLCF1_LIFR,
INHBA_SMAD3,BMP8B_BMPR2,IGFBP3_TMEM219,CLEC11A_ITGA10,
INHBA_ACVR2B,BST1_CAV1,TIMP1_FGFR2,CLEC11A_ITGA11,
INHBA_BAMBI,BTC_EGFR,FLT4_PDGFC,CLEC11A_ITGB1,
INHBA_ACVR1B,BTC_ERBB2,CNR2_ADIPOQ,CLEC2B_KLRF1,
INHBA_TGFBR3,BTC_ERBB3,SELE_GLG1,CLEC2D_KLRB1,
INHBA_ACVR2A,BTC_ERBB4,CCL3L3_CCR1,CLEC4G_LAG3,
INHA_ACVR1,C1QA_CD93,CCL3L1_CCR1,CNTF_CNTFR,
INHA_ACVR2B,C1QA_CR1,RAMP3_ADM,CNTF_IL6R,
INHA_TGFBR3,C1QA_CSPG4,SELE_SELPLG,CNTF_IL6ST,
INHA_ACVR2A,C1QB_LRP1,TNFSF4_TNFRSF4,CNTF_LIFR,
PI3_PLD2,C1orf112_PLSCR4,CCL3_CCR1,CNTN1_NOTCH1,
IL17C_IL17RE,C1orf194_PLSCR4,FGF1_FGFR2,CNTN1_NOTCH2,
LYPD3_AGR2,C1orf200_LY6G6C,PVR_CD96,CNTN1_PTPRZ1,
EREG_EGFR,C1orf200_SLC16A4,PDGFRB_PDGFD,CNTN2_CNTN1,
EREG_ERBB4,C3_C3AR1,SELP_SELPLG,CNTN2_CNTNAP2,
EREG_ERBB2,C3_C5AR2,HLA-C_KIR2DL3,CNTN2_NRCAM,
EREG_ERBB3,C3_CD19,TREML2_CD276,CNTN4_PTPRG,
EFNB2_EPHB6,C3_CD46,CCL2_CCR2,CNTN6_NOTCH1,
EFNB2_EPHB4,C3_CD81,NOTCH3_JAG2,COL11A1_DDR1,
EFNB2_EPHB1,C3_CR1,CEACAM1_CEACAM8,COL14A1_CD44,
EFNB2_EPHB3,C3_IFITM1,NOTCH4_JAG2,COL18A1_GPC1,
EFNB2_EPHB2,C3_ITGAM,TNFSF15_TNFRSF25,COL18A1_GPC4,
EFNB2_EPHA4,C3_ITGAX,IGF2_IGF2R,COL18A1_ITGA5,
EFNB2_EPHA6,C3_ITGB2,FFAR2_TNF,COL18A1_ITGB1,
EFNB2_EPHA3,C3_LRP1,IGF1_IGF1R,COL18A1_KDR,
EFNB2_RHBDL2,C4BPA_BMPR2,ACKR2_CCL3L1,COL18A1_PTPRS,
EFNB2_GRM5,C4BPA_CD40,ACKR2_CCL3L3,COL1A1_CD36,
EFNB2_GRM1,C4BPA_LRP1,LGALS3_MERTK,COL1A1_CD44,
BMP4_LRP6,C5_C5AR1,HLA-DPA1_GAL,COL1A1_CD93,
BMP4_BMPR2,C5_C5AR2,HLA-F_LILRB2,COL1A1_DDR1,
BMP4_BMPR1A,C6orf15_DDR1,CCL22_DPP4,COL1A1_DDR2,
BMP4_BMPR1B,CALCA_CALCR,IL6_HRH1,COL1A1_GP6,
PSPN_GFRA3,CALCA_CALCRL,CCL3L1_DPP4,COL1A1_ITGA11,
PSPN_RET,CALCA_RAMP1,CXCL2_DPP4,COL1A1_ITGA2,
PSPN_SDC3,CALCA_RAMP2,CCL3L3_DPP4,COL1A1_ITGA5,
PSPN_GFRA2,CALCB_CALCR,TNFRSF11B_TNFSF10,COL1A1_ITGB1,
PSPN_GFRA4,CALCB_CALCRL,CXCL10_CXCR3,COL1A2_CD44,
PSPN_GFRA1,CALCB_RAMP1,TNF_FLT4,COL1A2_CD93,
TNFSF9_PVR,CALM1_ABCA1,EGFR_MIF,COL1A2_GP6,
TNFSF9_TNFRSF9,CALM1_ADCY8,IGFL3_IGFLR1,COL1A2_ITGA11,
TNFSF9_TRAF2,CALM1_ADCYAP1R1,HLA-B_KIR3DL2,COL1A2_ITGA2,
CD70_TNFRSF13B,CALM1_AQP6,HLA-F_KIR3DL2,COL1A2_ITGB1,
CD70_CD27,CALM1_CAC1C,LRP6_DKK2,COL2A1_DDR1,
CD70_TNFRSF17,CALM1_CALCR,NRP2_SEMA3C,COL2A1_ITGA10,
C3_ADRA2A,CALM1_CNGA2,NRP2_SEMA3F,COL2A1_ITGA2,
C3_MTNR1A,CALM1_CRHR1,ERBB2_HBEGF,COL2A1_ITGB1,
C3_GRM7,CALM1_EGFR,ACKR2_CCL3,COL2A1_MAG,
C3_ITGB2,CALM1_FAS,EGFR_NRG1,COL2A1_TNFRSF10A,
C3_LRP1,CALM1_GLP1R,ACKR2_CCL2,COL3A1_DDR1,
C3_ITGAM,CALM1_GLP2R,CCL3_CCR5,COL3A1_DDR2,
C3_C5AR2,CALM1_GP6,LTBR_LTB,COL3A1_MAG,
C3_CD19,CALM1_GRM3,PDGFA_PDGFRA,COL4A1_CD93,
C3_CD46,CALM1_GRM4,C3_C3AR1,COL4A1_ITGA1,
C3_CR2,CALM1_GRM5,TNFRSF10B_FASLG,COL4A1_ITGAV,
C3_ITGAX,CALM1_GRM7,NRP2_PGF,COL4A1_ITGB1,
C3_C3AR1,CALM1_HMMR,CX3CR1_CX3CL1,COL4A1_ITGB8,
C3_IFITM1,CALM1_HTR2C,CD27_CD70,COL4A2_CD93,
C3_CR1,CALM1_INSR,NRP1_VEGFA,COL4A3_CD47,
C3_CD81,CALM1_KCNN4,CXCR3_CCL20,COL4A3_CD93,
VASP_CXCR2,CALM1_KCNQ1,ESR1_TFF1,COL4A3_ITGAV,
SLURP1_CHRNA7,CALM1_KCNQ3,GRIN2D_IL16,COL4A5_CD93,
GDF1_SMAD3,CALM1_KCNQ5,TNFSF14_LTBR,COL4A6_CD93,
GDF1_ACVR2B,CALM1_MIP,CSF1R_CSF3,COL5A1_SDC3,
GDF1_ACVR1B,CALM1_MYLK,NTF3_NTRK2,COL5A2_DDR1,
GDF1_ACVR2A,CALM1_MYLK2,NTF4_NTRK2,COL5A3_SDC3,
OMG_RTN4RL1,CALM1_OPRM1,FFAR2_CCL4L2,COL8A1_ITGA1,
OMG_LINGO1,CALM1_PDE1A,APP_SORL1,COL8A1_ITGA2,
OMG_RTN4R,CALM1_PDE1B,LTA_LTBR,COL9A1_MAG,
OMG_NGFR,CALM1_PDE1C,MDK_SORL1,COL9A2_MAG,
LIF_LIFR,CALM1_PPAPDC2,NRG1_NETO2,COL9A3_MAG,
LIF_IL6ST,CALM1_PTH2R,EPHB2_EFNB1,COLQ_MUSK,
DLL4_NOTCH1,CALM1_PTPRA,TNFSF13_TNFRSF17,COMP_CD47,
DLL4_NOTCH4,CALM1_SCN4A,EPHB2_EFNB2,COMP_ITGA5,
DLL4_NOTCH2,CALM1_SELL,GH1_PRLR,CP_SLC40A1,
DLL4_NOTCH3,CALM1_TRPC3,SIRPA_CD47,CRH_CRHR1,
TPH1_HTR2A,CALM1_TRPC5,ANGPT2_TEK,CRH_CRHR2,
TPH1_HTR7,CALM1_VIPR1,TNFSF12_TNFRSF25,CRLF1_CNTFR,
TPH1_HTR1A,CALM2_ABCA1,EPHA2_EFNA5,CRTAM_CADM1,
TPH1_HTR1F,CALM2_ADCY8,APP_FPR2,CSF1_CSF1R,
TPH1_HTR1D,CALM2_AQP6,SAA1_FPR2,CSF2_CSF2RA,
TPH1_HTR2C,CALM2_CAC1C,ANXA1_FPR1,CSF2_CSF2RB,
TPH1_HTR4,CALM2_EGFR,FPR3_HEBP1,CSF2_CSF3R,
TPH1_HTR6,CALM2_GP6,CADM1_CADM1,CSF2_IL3RA,
TPH1_HTR1B,CALM2_GRM5,COPA_P2RY6,CSF2_SDC2,
TPH1_HTR2B,CALM2_GRM7,WNT5A_SFRP4,CSF3_CSF3R,
TPH1_HTR5A,CALM2_INSR,DPP4_CXCL9,CTF1_IL6ST,
TPH1_HTR1E,CALM2_KCNQ1,SPN_SIGLEC1,CTF1_LIFR,
AANAT_MTNR1A,CALM2_KCNQ3,ADORA3_ENTPD1,CTHRC1_FZD3,
AANAT_MTNR1B,CALM2_KCNQ5,WNT5A_SFRP2,CTHRC1_FZD5,
LMAN1_MCFD2,CALM2_MYLK,CTLA4_CD80,CTHRC1_FZD6,
APOE_LRP2,CALM2_MYLK2,WNT5A_ANTXR1,CTHRC1_ROR2,
APOE_LRP1,CALM2_PDE1A,CD46_JAG1,CX3CL1_CX3CR1,
APOE_SDC2,CALM2_PDE1B,NCR3_NCR3LG1,CX3CL1_ITGAV,
APOE_LRP6,CALM2_PDE1C,CLEC2B_KLRF1,CXADR_CXADR,
APOE_LRP5,CALM2_PPAPDC2,PLXNC1_SEMA7A,CXCL1_CXCR1,
APOE_LDLR,CALM2_SCN4A,ATP6AP2_REN,CXCL1_CXCR2,
APOE_VLDLR,CALM2_SELL,TNFSF12_TNFRSF12A,CXCL10_CCR3,
APOE_LSR,CALM2_TRPC5,LGALS9_SLC1A5,CXCL10_CXCR3,
APOE_LRP8,CALM3_ABCA1,ICAM3_CD209,CXCL10_SDC4,
APOE_ABCA1,CALM3_ADCY8,NGF_SORT1,CXCL11_ACKR3,
APOE_CHRNA4,CALM3_AQP6,ICAM3_CLEC4M,CXCL11_CCR3,
APOE_TREM2,CALM3_EGFR,GRN_CLEC4M,CXCL11_CXCR3,
APOE_SORL1,CALM3_GP6,NTS_SORT1,CXCL12_ACKR3,
APOE_SCARB1,CALM3_GRM5,GCG_IDE,CXCL12_CD4,
APOE_LRP4,CALM3_GRM7,EPHA4_EFNB3,CXCL12_CXCR3,
APOC2_LDLR,CALM3_INSR,NRG2_ERBB3,CXCL12_CXCR4,
NCAN_SDC3,CALM3_KCNQ1,CD200_CD200R1,CXCL12_ITGA4,
NCAN_CDH2,CALM3_KCNQ3,ADIPOQ_CLEC2D,CXCL12_ITGA5,
BST2_LILRA4,CALM3_KCNQ5,NRP1_PGF,CXCL12_ITGAV,
BMP15_BMPR2,CALM3_MYLK,SEMA3E_PLXND1,CXCL12_ITGB1,
BMP15_BMPR1A,CALM3_MYLK2,PTPRC_MRC1,CXCL13_ACKR4,
BMP15_BMPR1B,CALM3_PDE1A,CCL3_IDE,CXCL13_CCR10,
BMP15_ACVR2A,CALM3_PDE1B,TNF_RIPK1,CXCL13_CXCR3,
EPO_EPHB4,CALM3_PDE1C,HLA-F_KIR3DL1,CXCL13_CXCR5,
EPO_EPOR,CALM3_PPAPDC2,NR3C1_IL10,CXCL14_CXCR4,
GDF15_RET,CALM3_SCN4A,BSG_PPIA,CXCL16_CXCR6,
GDF15_GFRAL,CALM3_SELL,CD52_SIGLEC10,CXCL17_GPR35,
LAMA5_ITGB1,CALM3_TRPC5,CCR1_CCL7,CXCL2_CXCR1,
LAMA5_SDC1,CALR_HLA-F,CCR5_CCL7,CXCL2_CXCR2,
LAMA5_ITGA6,CALR_ITGA2B,PLXNB1_SEMA4D,CXCL2_XCR1,
LAMA5_ITGA2,CALR_ITGA3,TNFSF9_TNFRSF9,CXCL3_CXCR1,
LAMA5_BCAM,CALR_ITGAV,CD2_CD58,CXCL3_CXCR2,
LAMA5_ITGA3,CALR_LRP1,WNT7A_LDLR,CXCL5_CXCR1,
LAMA5_ITGB4,CALR_SCARF1,MET_HGF,CXCL5_CXCR2,
F12_CD93,CALR_TSHR,CCR1_CCL8,CXCL6_CXCR1,
F12_GP1BA,CAMP_EGFR,CCR5_CCL8,CXCL6_CXCR2,
JAG1_NOTCH1,CAMP_FPR2,WNT5A_ROR1,CXCL9_CCR3,
JAG1_NOTCH4,CAMP_IGF1R,CCR1_CCL13,CXCL9_CXCR3,
JAG1_NOTCH2,CAMP_P2RX7,IDE_CCL23,CYTL1_CCR2,
JAG1_NOTCH3,CCK_CCKAR,WNT2_FRZB,DAG1_LAMA4,
JAG1_CD46,CCK_CCKBR,MDK_ALK,DCN_EGFR,
CRP_OLR1,CD14_ITGA4,PVR_CD226,DCN_ERBB4,
CRP_CR1,CD14_ITGB1,PDGFRA_PDGFC,DCN_MET,
NTS_SORT1,CD34_SELL,MIF_TNFRSF14,DCN_TLR2,
NTS_NTSR1,CD34_SELP,GMCSFR_CSF2,DCN_TLR4,
NTS_NTSR2,CD55_CD97,CCL5_CCR4,DEFB1_CCR6,
NTS_NGFR,CD55_CR1,IL13_TMEM219,DEFB103A_CCR6,
TSHB_PTH1R,CD55_EMR2,CXCL12_CXCR4,DEFB103B_CCR2,
TSHB_ADCYAP1R1,CD5L_CD5,LGALS9_MET,DEFB103B_CCR6,
TSHB_RAMP2,CDH1_CDH2,HLA-A_KIR3DL1,DEFB106A_CCR2,
TSHB_VIPR1,CDH1_EGFR,ADORA2B_ENTPD1,DEFB4A_CCR6,
TSHB_RAMP3,CDH1_ERBB3,LAIR1_LILRB4,DEFB4A_TLR4,
TSHB_GPR20,CDH1_IGF1R,FPR3_MT-RNR2,DEFB4B_CCR6,
TSHB_ADRB2,CDH1_ITGAE,NAMPT_IL13RA2,DHH_BOC,
TSHB_ADRB3,CDH1_ITGB7,LTA_TNFRSF1B,DHH_CDON,
TSHB_TSHR,CDH1_KLRG1,TNFSF9_IL13RA2,DHH_HHIP,
TSHB_GPR84,CDH1_LRP5,FPR2_FAM19A5,DHH_PTCH1,
FST_BMPR2,CDH1_PTPRF,EFNA1_EPHA4,DHH_PTCH2,
FST_BMPR1B,CDH1_PTPRM,LTA_RIPK1,DKK1_KREMEN1,
GRP_GRPR,CEL_CXCR4,TNF_CELSR2,DKK1_KREMEN2,
GRP_BRS3,CFH_ITGAM,CXCR3_CCL19,DKK1_LRP4,
GRP_NMBR,CFH_SELL,FGFR1_FGF5,DKK1_LRP5,
DSC1_DSG2,CGA_LHCGR,CCR6_CCL20,DKK1_LRP6,
DSC1_DSG3,CGA_SIRPA,PPARG_CCL11,DKK2_KREMEN1,
DSC1_DSG1,CGA_TSHR,HGF_CD44,DKK2_KREMEN2,
SEMA6A_PLXNA4,CGN_OCLN,ACKR3_CXCL12,DKK2_LRP5,
SEMA6A_PLXNA2,CGN_TGFBR1,CCL5_ACKR4,DKK2_LRP6,
LACRT_SDC1,CGN_TGFBR2,MDK_LRP1,DKK4_KREMEN1,
GDF11_ACVR2B,CHAD_ITGA2,CD40_CD40LG,DKK4_KREMEN2,
GDF11_ACVR1B,CHAD_ITGB1,PDGFB_PDGFRB,DKK4_LRP6,
GDF11_BMPR2,CLCF1_CNTFR,TNF_TNFRSF1A,DLK1_NOTCH1,
GDF11_BMPR1A,CLCF1_CRLF1,CSF2_NR3C1,DLK1_NOTCH2,
GDF11_BMPR1B,CLCF1_IL6ST,CXCL10_DPP4,DLK1_NOTCH3,
GDF11_ACVR2A,CLCF1_LIFR,ICAM1_AREG,DLK1_NOTCH4,
LAMC1_ITGB1,CLEC11A_KIT,GLRA2_FAM3C,DLK2_NOTCH1,
LAMC1_ITGAV,CLEC3A_CLEC10A,HLA-G_LILRB2,DLL1_NOTCH1,
LAMC1_ITGA7,CLEC3A_CLEC2B,NR3C1_FASLG,DLL1_NOTCH2,
LAMC1_ITGA6,CNTN2_CNTN1,RLN1_AR,DLL1_NOTCH3,
LAMC1_ITGA1,CNTN2_CNTP2,CXCL13_CXCR5,DLL1_NOTCH4,
LAMC1_ITGA2,CNTN2_NRCAM,TNFRSF17_TNFSF13B,DLL3_NOTCH1,
LAMC1_ITGA3,CNTN2_NRP1,HLA-C_KIR2DL1,DLL3_NOTCH2,
LAMC1_ITGB4,CNTN4_PTPRG,EGFR_HBEGF,DLL3_NOTCH3,
IL36G_IL36RN,COL11A1_DDR1,JAM3_JAM3,DLL3_NOTCH4,
IL36G_IL1RL2,COL11A1_ITGA2,JAM2_JAM3,DLL4_NOTCH1,
IL1RN_IL1RL2,COL11A1_ITGB1,OSMR_OSM,DLL4_NOTCH2,
IL1RN_IL1R1,COL14A1_CD44,LGALS9_MRC2,DLL4_NOTCH3,
IL1RN_IL1R2,COL18A1_GPC1,LILRA4_BST2,DLL4_NOTCH4,
IL36A_IL36RN,COL18A1_GPC4,ACKR2_CCL7,DNAJB11_PRTG,
IL36A_IL1RL2,COL18A1_ITGA5,CD48_CD244,DSC1_DSG1,
IL36B_IL36RN,COL18A1_ITGB1,LGALS9_CD47,DSC1_DSG2,
IL36B_IL1RL2,COL18A1_KDR,LGALS9_DAG1,DSC1_DSG3,
CFC1_SMAD3,COL1A1_CD36,DPP4_CXCL12,DSC1_DSG4,
CFC1_ACVR1B,COL1A1_CD44,TGFB3_TGFBR3,DSC2_DSG1,
CFC1_ACVR2A,COL1A1_CD93,TNF_TNFRSF1B,DSC2_DSG2,
ORM1_CCR5,COL1A1_DDR1,PROS1_AXL,DSC2_DSG3,
CCL21_ADRA2A,COL1A1_DDR2,TNFSF10_TNFRSF10D,DSC2_DSG4,
