CellCDmT,iTALK,CellPhoneDB,NATMI,CellChat
CEACAM6_EGFR,FGF21_FGFR2,PTGIR_GHRL,ANG_PLXNB2,ANGPTL4_CDH11
THPO_MPL,FGF21_FGFR4,GHRHR_GHRL,ANGPT1_ITGA5,ANGPTL4_SDC2
EFNB1_EPHB6,FGF22_FGFR2,ACE2_GHRL,ANGPT1_ITGB1,PTN_SDC2
EFNB1_EPHB4,FGF23_FGFR1,GNRH1_GNRHR2,ANGPT1_TEK,PTN_ALK
EFNB1_ERBB2,FGF23_FGFR2,VEGFA_FLT1,ANGPT1_TIE1,EDN1_EDNRA
EFNB1_EPHB1,FGF23_FGFR3,VEGFA_GRIN2B,ANGPT2_TEK,EDN2_EDNRA
EFNB1_EPHB3,FGF23_FGFR4,DSCAM_NTN1,ANGPT2_TIE1,EDN1_EDNRB
EFNB1_EPHB2,FGF23_PHEX,UNC5C_NTN1,ANGPT4_TEK,EDN2_EDNRB
EFNB1_EPHA4,FGF2_CD44,NTF3_NTRK3,ANGPTL1_TEK,PYY_NPY1R
EFNB1_EPHA6,FGF2_FGFR1,PTPRS_NTRK3,ANGPTL2_ITGA5,CTSG_F2RL1
DLL3_NOTCH1,FGF2_FGFR2,IL13_IL13RA2,ANGPTL2_ITGB1,CTSG_F2RL2
DLL3_NOTCH4,FGF2_FGFR3,TAC1_TACR2,ANGPTL2_LILRB2,CTSG_F2RL3
DLL3_NOTCH2,FGF2_FGFR4,TAC1_TACR1,ANGPTL3_ITGA5,HGF_MET
DLL3_NOTCH3,FGF2_FGFRL1,EDN2_EDNRA,ANGPTL3_ITGAV,PROS1_TYRO3
SEMA4G_PLXNB2,FGF2_GPC4,CDH3_CDH3,ANPEP_SELE,RARRES2_GPR1
VCL_ITGB5,FGF2_NRP1,NOTCH2_DLL3,ANXA1_DYSF,RARRES2_CMKLR1
VCL_ALK,FGF2_SDC1,DSC2_DSG2,ANXA1_EGFR,SLURP1_CHRNA1
EFNA2_EPHA4,FGF2_SDC2,NOTCH1_DLL3,ANXA1_FPR1,SLURP1_CHRNA4
EFNA2_EPHA6,FGF2_SDC3,TEK_ANGPT1,ANXA1_FPR2,LGALS9_HAVCR2
EFNA2_EPHA7,FGF2_SDC4,SEMA5A_PLXNB3,ANXA1_FPR3,COL1A1_SDC1
EFNA2_EPHA10,FGF3_FGFR1,GPR19_ENHO,ANXA2_ROBO4,COL4A1_SDC1
EFNA2_EPHA3,FGF3_FGFR2,NTRK2_NTN4,ANXA2_TLR2,COL4A2_SDC1
EFNA2_EPHA1,FGF3_FGFR3,TSLP_TSLPR,APLN_APLNR,COL6A1_SDC1
EFNA2_EPHA5,FGF3_FGFR4,CRLF2_TSLPR,APOB_ENO1,COL6A2_SDC1
EFNA2_EPHA2,FGF4_FGFR1,DSG1_DSC1,APOB_LDLR,COL6A3_SDC1
EFNA2_EPHA8,FGF4_FGFR2,DSG1_DSC2,APOB_LRP2,COL6A5_SDC1
FGF22_FGFR2,FGF4_FGFR3,CXCR2_CXCL5,APOB_LSR,TNC_SDC1
FGF22_FGFR1,FGF4_FGFR4,CXCR2_CXCL6,APOB_OLR1,THBS3_SDC1
MADCAM1_ITGA4,FGF4_NRP1,TYRO3_GAS6,APOD_LEPR,LAMA1_SV2A
MADCAM1_CD44,FGF5_FGFR1,NTSR1_NTS,APOE_LDLR,LAMA2_SV2A
MADCAM1_ITGB7,FGF5_FGFR2,APLNR_APLN,APOE_LRP1,LAMA3_SV2A
MIF_EGFR,FGF5_FGFR3,CHRNA7_SLURP1,APOE_LRP2,LAMA4_SV2A
MIF_CD44,FGF5_FGFR4,FLT3_FLT3LG,APOE_LRP5,LAMB3_SV2A
MIF_CXCR4,FGF7_FGFR1,BMP7_PTPRK,APOE_LRP8,LAMC1_SV2A
MIF_CXCR2,FGF7_FGFR2,LRP6_DKK1,APOE_SCARB1,LAMC2_SV2A
MIF_CD74,FGF7_FGFR3,LRP5_DKK1,APOE_SORL1,LAMA1_SV2B
OSM_LIFR,FGF7_FGFR4,CDH6_CDH6,APOE_VLDLR,LAMA2_SV2B
OSM_IL6ST,FGF7_NRP1,NOTCH2_JAG2,APP_CAV1,LAMA3_SV2B
OSM_OSMR,FGF9_FGFR1,NOTCH1_JAG2,APP_CD74,LAMA4_SV2B
TCN2_LRP2,FGF9_FGFR2,TBXA2R_GHRL,APP_FPR2,LAMA5_SV2B
