cell_type,Melanoma cancer cells,T cells,B cells,Macrophages,Endothelial cells,CAFs,NK cells
Melanoma cancer cells,0.16149206179945724,0.17979716538230203,0.08886944725845214,0.45032788710804567,0.19723622829341592,0.23613110223196312,0.23046310067008902
T cells,0.05707468882891268,0.04880649380473731,0.0643092412256386,0.09474457623060624,0.1287692948343001,0.09792671431370371,0.15751631393390317
B cells,0.03033026229554964,0.12972628838754105,0.0019096293077004072,0.14930064835408446,0.017291308681123278,0.12590788610415557,0.06376190033171832
Macrophages,0.15577670138943708,0.15962519317862775,0.15500800721520372,0.39522727225693993,0.37702390420484305,0.3260866027524915,0.5091062068338177
Endothelial cells,0.3735495376707225,0.3776651702153459,0.3290862797474707,0.5256967843850394,0.4250726461648102,0.5206245244809083,0.30693828749808444
CAFs,0.5156161765872985,0.41185414704291756,0.31209214610588526,0.768050006804458,0.45158203493350796,0.7931612449202804,0.20493620002116378
NK cells,0.0427552059452844,0.19711524418999804,0.056630613765194425,0.19271724110733454,0.10640228162717702,0.17080197695526403,0.24484391819394014
