cell_type,Melanoma cancer cells,T cells,B cells,Macrophages,Endothelial cells,CAFs,NK cells
Melanoma cancer cells,,,,,,,
T cells,,,,,,,
B cells,,,,,,,
Macrophages,,,,,,,
Endothelial cells,,,,,,,
CAFs,,,,,,,
NK cells,,,,,,,
